alpha,beta,theta_c,eta1,eta2,f1_fsdt,f2_fsdt,f3_fsdt,f4_fsdt,f5_fsdt,f6_fsdt,f7_fsdt,f8_fsdt,f9_fsdt,f10_fsdt
0.811370,0.135367,39.786353,1.728600,0.037873,862.380446,1622.919619,1658.549776,2294.099311,2636.324059,2804.133683,3207.850704,3327.455422,3793.129871,4120.427016
0.799880,0.613780,66.751658,1.307618,0.048697,1033.911169,1743.205476,2095.141530,2642.660142,2651.038148,3427.164749,3621.088061,3626.431660,4047.126753,4323.517845
0.698359,0.492612,74.001909,1.688187,0.100900,893.059432,1531.263809,1824.571805,2328.333197,2340.306609,3033.363814,3223.075896,3225.905624,3612.207889,3848.694309
0.553112,0.708338,62.720892,1.634300,0.146844,1008.103192,1810.226479,2034.036523,2693.284612,2864.091532,3547.720933,3632.210744,4044.199035,4087.254368,4735.368706
0.424633,0.899685,40.409136,0.811593,0.049560,1008.766805,1810.448063,1890.148932,2540.567684,2853.866701,3064.835566,3459.345286,3587.949076,4022.619952,4370.095783
0.580827,0.101205,45.593706,1.773432,0.099412,791.306783,1531.813658,1571.495348,2208.149571,2648.587621,2669.413114,3217.392714,3237.041227,3958.151952,4085.157811
0.862227,0.222557,42.870996,2.658639,0.113017,909.155823,1709.450673,1835.075086,2507.806288,2925.935199,3115.009306,3606.239966,3689.945590,4464.950624,4619.932683
0.632920,0.755745,17.627864,1.512007,0.054620,1078.358451,1958.439552,1977.596466,2695.234291,3103.374402,3163.179331,3710.042976,3741.410611,4395.580311,4487.191782
0.853807,0.539670,72.831038,1.222142,0.109610,866.290172,1631.464226,1707.405050,2336.205401,2806.724972,2833.526380,3359.044679,3391.910452,4107.085187,4282.959851
0.876710,0.977648,52.879878,1.936583,0.136587,977.315434,1870.322292,1950.894583,2709.357927,3208.749597,3315.874981,3927.054152,3967.524615,4889.619673,4934.720379
0.793435,0.427127,41.224817,0.908318,0.068899,1097.896928,2088.585742,2118.119239,2956.325780,3446.858639,3565.561872,4188.091856,4267.954490,5033.815547,5290.629924
0.647938,0.779449,73.266693,1.798612,0.045160,921.433652,1353.377596,1900.758030,2013.936300,2324.325552,2488.203262,2766.043573,3089.040404,3282.648046,3550.081729
0.684873,0.669216,11.702797,2.519693,0.079781,1099.671458,2010.312295,2072.639388,2819.796884,3214.947616,3383.977382,3889.093852,3992.170269,4581.075797,4882.959002
0.833058,0.100436,67.373235,2.061730,0.086237,740.867912,1287.719241,1524.350081,1948.167851,2189.342653,2533.142938,2725.898979,2878.691491,3378.756995,3537.892829
0.364267,0.593166,53.637637,1.343469,0.082191,987.555494,1749.261185,1969.800454,2589.503744,2744.012359,3370.657536,3467.714772,3847.725141,3877.771374,4495.678446
0.191981,0.178040,51.602008,1.610222,0.133647,916.359629,1812.745819,1836.934905,2632.742158,3122.100470,3238.229729,3859.734197,3945.893493,4744.388454,5045.794333
0.203992,0.794572,72.010148,1.415714,0.097861,925.493969,1589.364183,1932.883133,2447.512502,2469.373973,3225.726018,3400.276788,3446.502143,3871.080068,4107.720637
0.899568,0.123761,5.501764,1.860094,0.075112,789.414970,1470.290919,1656.705305,2232.596370,2515.461668,2913.190329,3180.469729,3410.297270,3847.672947,4251.550577
0.546595,0.565162,28.612125,1.598564,0.064069,1033.924724,1872.438217,1936.309155,2620.086322,2970.119160,3142.894606,3590.375821,3695.746765,4205.575718,4513.933941
0.822440,0.157232,38.178131,2.994107,0.121510,863.628632,1623.168470,1746.024183,2385.981821,2781.510330,2965.185324,3432.848653,3513.720891,4252.319692,4398.760692
0.562297,0.231153,33.317335,2.763888,0.029533,816.590950,1356.372274,1556.176826,1975.408705,2037.263363,2525.786575,2554.613361,2777.434338,2848.010300,3219.396164
0.616853,0.121470,49.024855,2.167709,0.131680,816.363745,1561.486500,1629.395308,2261.133485,2703.705628,2752.474633,3295.883499,3301.158234,4065.630738,4172.032442
0.381560,0.128879,69.428308,1.678198,0.129473,816.946188,1584.972702,1603.541852,2254.296088,2625.774293,2830.892933,3207.093504,3376.497704,3828.448807,4215.152597
0.405893,0.244815,32.066809,1.816908,0.041615,870.176964,1561.776097,1656.464414,2218.518597,2464.536822,2721.701883,3014.300714,3173.726348,3477.032776,3850.774672
0.796682,0.553705,51.371198,0.784176,0.089128,1094.020647,2096.984670,2130.492842,2984.439629,3477.457657,3638.500641,4242.726190,4358.464877,5094.393922,5468.102189
0.731969,0.413590,64.889294,1.671225,0.076967,978.466053,1709.346530,1965.452568,2549.569290,2644.030579,3369.178166,3415.201162,3674.515756,3873.670092,4319.771512
0.446793,0.265828,71.709939,1.720312,0.103212,857.841000,1487.745642,1763.803331,2267.774777,2293.079742,2975.826775,3139.500214,3180.700312,3534.846486,3797.929911
0.711935,0.905781,47.740134,2.599431,0.039444,1024.458747,1634.142941,2016.908711,2401.470235,2479.130407,3119.034048,3230.672202,3327.200054,3670.737824,3853.168342
0.786619,0.629933,24.944884,1.840159,0.053657,1133.210153,2069.933898,2129.044524,2896.961290,3304.885068,3469.299561,3992.854164,4093.457953,4702.730306,4998.990092
0.606832,0.319559,54.847171,1.477258,0.094608,977.107510,1786.145766,1933.564456,2601.323043,2853.031922,3330.557353,3555.075053,3872.956720,4058.910464,4677.802032
0.881491,0.816528,65.323128,1.785667,0.058762,1018.118053,1844.390645,2003.608733,2674.655354,2913.608091,3455.858154,3624.049141,3990.074519,4106.493741,4731.464687
0.610693,0.241077,33.825397,1.234698,0.024863,866.278095,1521.416038,1587.953746,2112.824018,2358.684497,2526.715258,2843.126142,2943.393317,3284.540828,3559.482566
0.455625,0.387857,73.778726,1.767776,0.057104,846.924321,1294.966464,1842.211421,1860.996198,2175.039480,2471.008975,2644.495373,3096.386925,3190.276245,3293.980599
0.727030,0.109914,67.579848,1.889159,0.084130,757.427409,1412.712753,1465.080122,1995.410613,2370.084102,2455.527896,2816.083184,2922.253490,3376.570331,3625.877832
0.638555,0.212416,22.177736,2.201921,0.083936,929.302440,1755.854627,1798.908351,2496.266717,2889.304178,3025.309162,3521.025199,3608.938021,4211.344537,4481.949775
0.723217,0.254472,23.726122,1.700369,0.064662,985.608364,1857.035553,1884.071640,2615.160767,3045.163652,3129.239714,3686.237790,3737.247637,4427.671657,4581.778608
0.432170,0.159481,74.805175,1.924547,0.065700,766.523606,1285.091112,1601.277539,1939.564469,2006.533062,2573.558291,2652.325256,2878.429711,3187.167245,3228.991628
0.887155,0.433703,71.113896,1.776305,0.070373,886.273127,1678.763425,1690.676880,2339.871209,2703.522025,2923.331362,3261.797997,3444.122206,3848.020850,4231.689992
0.773513,0.189613,50.242859,1.533333,0.072494,920.539322,1765.795443,1774.198317,2486.316242,2899.322066,3043.551631,3516.836836,3634.271322,4200.839819,4534.518391
0.782931,0.260713,50.381603,1.629208,0.059664,982.178657,1810.194240,1911.562666,2594.076034,2897.465119,3258.343125,3566.364149,3811.873614,4123.429233,4645.854244
0.415623,0.191183,63.417926,1.054980,0.116711,881.498230,1687.079649,1750.661982,2436.907309,2787.627240,3075.766023,3443.295836,3654.857944,4066.700594,4543.194148
0.353936,0.872573,66.374933,2.430000,0.051164,873.847719,1315.261675,1873.566950,1873.817246,2197.531611,2474.438713,2653.658759,3089.769605,3183.107028,3271.030171
0.713818,0.284162,49.636303,1.865457,0.117170,970.847686,1851.551586,1889.295815,2631.799361,3039.777032,3250.477270,3710.875250,3868.354698,4408.538952,4811.741422
0.827010,0.109266,46.763114,2.811335,0.095259,804.285589,1469.998269,1647.866170,2195.023802,2511.731412,2787.536436,3122.377188,3250.051713,3852.838662,4059.369096
0.766142,0.100068,39.213695,1.452700,0.034239,786.236098,1491.354142,1513.588169,2107.035919,2441.217435,2560.093218,2966.949035,3052.892084,3535.118807,3803.638570
0.465286,0.447894,68.920390,1.580596,0.067449,911.734554,1471.092118,1916.031645,2178.644726,2346.326953,2947.969562,2948.061508,3374.711998,3643.246917,3694.761754
0.286870,0.945370,7.625579,1.521701,0.113811,1018.444173,1935.495816,1976.052683,2753.999589,3204.276323,3330.741138,3905.079116,3985.981367,4695.801403,4944.412229
0.836863,0.147600,30.201110,2.901144,0.074516,876.663447,1683.793846,1713.122195,2400.604321,2855.695143,2883.901034,3453.507771,3485.138483,4204.501134,4357.013926
0.671997,0.379317,19.510611,1.750110,0.055879,1027.597213,1891.146420,1913.625565,2623.889889,3033.700017,3099.183439,3641.748126,3677.415299,4336.339966,4439.893740
0.841602,0.603197,56.914786,0.988167,0.125665,1001.188024,1928.454250,1990.870861,2784.298420,3314.920946,3383.807223,4052.002477,4068.223424,5038.757307,5059.695363
0.459368,0.731495,62.094431,2.254100,0.098764,973.626933,1623.666771,2007.210948,2451.822662,2518.001754,3232.559767,3360.209587,3498.880764,3890.389046,4059.671299
0.315712,0.324036,69.913004,1.450879,0.052292,859.424970,1402.462568,1810.624624,2091.266728,2232.666266,2823.278370,2842.956771,3209.941401,3506.677072,3527.613524
0.230239,0.471604,37.266522,1.757435,0.126510,981.947839,1878.420372,1943.675422,2714.221021,3135.065472,3346.954161,3863.927392,4005.563010,4627.485152,5027.471307
0.744959,0.658509,60.395441,1.158704,0.024141,1009.281053,1571.168242,2025.042348,2278.346360,2444.288764,3026.414987,3039.526703,3370.829406,3675.713882,3694.982745
0.345320,0.375689,14.899573,2.921709,0.067891,926.986487,1679.063798,1770.952032,2386.098807,2669.379758,2921.153963,3262.779467,3419.469979,3787.076107,4169.146266
0.477544,0.172532,26.511703,2.476758,0.090944,873.493933,1659.778598,1711.364941,2380.214401,2744.901368,2919.574900,3366.745944,3483.915648,4016.688468,4353.028559
0.540255,0.221131,70.261534,2.081547,0.107198,834.016953,1470.347069,1687.552216,2196.998320,2281.476766,2912.242552,2991.699835,3174.319303,3392.156389,3741.570739
0.868794,0.348776,70.606191,1.552916,0.078391,878.016910,1661.624670,1689.168465,2331.034368,2744.492266,2871.225332,3285.772952,3411.870410,3929.964257,4232.599280
0.752312,0.133046,43.780448,2.197032,0.046872,835.839999,1547.730088,1619.980115,2207.775194,2480.864201,2760.517880,3043.756797,3237.514433,3532.181615,3955.326364
0.519491,0.689079,57.705165,1.996876,0.085291,1003.387864,1692.620600,2033.410687,2572.159932,2577.017563,3337.281507,3495.279798,3538.707956,3915.245403,4217.332647
0.368619,0.338936,57.346283,2.100748,0.110997,934.618188,1680.592792,1888.574407,2502.962203,2662.370960,3299.294386,3378.760098,3763.139651,3803.205630,4408.558424
0.703633,0.115882,61.096437,1.285285,0.109177,801.494638,1486.767949,1629.136798,2195.103236,2564.465476,2749.553751,3160.296075,3230.027080,3963.732689,4045.537659
0.585642,0.929714,59.419424,1.569937,0.079089,1037.871358,1759.202931,2095.249659,2665.472737,2680.725104,3463.332632,3593.189167,3694.483870,4035.241645,4387.339143
0.271416,0.766345,20.283662,2.317950,0.089200,982.520096,1820.714564,1885.082159,2581.487253,2946.971082,3132.263603,3589.158118,3705.945819,4238.353956,4578.365410
0.289691,0.200099,64.374138,0.620489,0.104167,905.042007,1751.721564,1812.527375,2547.739663,2941.864488,3194.617312,3647.214986,3830.192115,4359.645052,4817.142739
0.747797,0.290425,74.423010,1.390349,0.088197,843.230372,1516.599715,1664.372924,2203.404275,2370.416832,2925.588584,2958.702390,3306.325886,3350.608204,3832.161589
