run,alpha,beta,theta_c,eta1,eta2,lc,tc,h_face,hc,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,solve_time_s,total_time_s
1,0.81137,0.135367,39.786353,1.7286,0.037873,0.003,0.000113619,0.0009431500000000001,0.0081137,1200.2217803445976,2211.7322009708046,2221.243093554135,3053.981088642328,3548.7498074394575,3585.1736706676884,4251.312406958543,4257.2829135685415,5093.063491031928,5105.056976889191,104.33008790016174,179.87758207321167
2,0.79988,0.61378,66.751658,1.307618,0.048697,0.003,0.000146091,0.0010006000000000001,0.0079988,1207.4984723752505,2251.6018556108256,2262.116179641929,3129.2541531409797,3652.6128781862103,3690.397539435606,4390.266275828183,4397.731406850601,5286.30620331755,5302.279799804206,116.34027767181396,189.96134543418884
3,0.698359,0.492612,74.001909,1.688187,0.1009,0.003,0.00030270000000000004,0.0015082050000000003,0.00698359,1175.350241580459,2243.3896609563044,2257.0266854522997,3163.6279013043277,3728.9200782037587,3768.3388994760917,4516.965064403811,4528.436898982216,5504.12775203459,5530.51941437885,105.01942276954651,174.33539581298828
4,0.553112,0.708338,62.720892,1.6343,0.146844,0.003,0.000440532,0.0022344399999999994,0.0055311200000000005,1125.2037713362215,2168.360618689321,2183.7350822489525,3079.3630624563834,3645.124145150855,3684.335075474,4433.539395948816,4446.615567424432,5434.308022560549,5464.527252852945,85.55595088005066,154.30271863937378
5,0.424633,0.899685,40.409136,0.811593,0.04956,0.003,0.00014868,0.0028768350000000003,0.0042463299999999995,1013.0106445752782,1868.085701158857,1875.3558933898405,2583.651472683659,3010.3826444769315,3035.996171533401,3612.282491748004,3613.341511996885,4347.084545925059,4349.163086167189,89.77799153327942,157.7113754749298
6,0.580827,0.101205,45.593706,1.773432,0.099412,0.003,0.000298236,0.002095865,0.00580827,1132.70346024028,2149.5314286774674,2163.348459363374,3022.448129011718,3554.8554312467036,3591.8923020951,4298.982428313435,4308.921366700223,5226.367631316447,5247.577241894434,93.32361268997192,163.92533040046692
7,0.862227,0.222557,42.870996,2.658639,0.113017,0.003,0.00033905100000000004,0.0006888650000000005,0.00862227,1147.7250282925515,2245.355526509828,2252.993759446532,3209.808170921019,3826.293120699574,3858.958479546551,4676.541304516675,4684.489167290723,5781.008233099264,5800.974276404744,110.42405700683594,179.2891342639923
8,0.63292,0.755745,17.627864,1.512007,0.05462,0.003,0.00016386000000000002,0.0018353999999999998,0.0063292,1119.213703623341,2064.13484902925,2074.7631491482816,2854.4227566907102,3320.828402940372,3353.539343049762,3980.541879080941,3985.8156329331287,4777.664349462474,4786.686944550051,107.21661281585693,175.09930562973022
9,0.853807,0.53967,72.831038,1.222142,0.10961,0.003,0.00032883,0.0007309650000000003,0.00853807,1159.4592651574944,2262.736808656768,2270.994287646842,3229.844891070827,3845.6216470595177,3879.3678710233535,4695.329332097778,4703.775875184315,5794.854050453767,5816.01773211361,112.81455707550049,181.9202597141266
10,0.87671,0.977648,52.879878,1.936583,0.136587,0.003,0.00040976099999999997,0.0006164500000000004,0.0087671,1096.2430115368904,2161.158114735191,2167.2036278649857,3104.8406167307644,3714.8991684912326,3744.058312948938,4556.3820382394515,4562.91893150269,5662.05903108001,5678.783395410252,106.87991309165955,174.5373775959015
11,0.793435,0.427127,41.224817,0.908318,0.068899,0.003,0.00020669700000000002,0.0010328250000000002,0.00793435,1209.047365444585,2292.2140824741555,2303.563274249135,3216.1748100850427,3779.570936021843,3818.3929871332607,4566.159835021499,4575.541440598375,5542.094366719104,5563.566795888936,108.04172253608704,177.03738641738892
12,0.647938,0.779449,73.266693,1.798612,0.04516,0.003,0.00013548,0.0017603100000000004,0.00647938,1106.8561315775883,2020.7411075127466,2030.1089127247467,2779.1569697285363,3221.986667323101,3252.892619507346,3851.39881868908,3855.1904203387767,4604.778496333925,4610.1559579728555,109.59614205360413,176.87454986572266
13,0.684873,0.669216,11.702797,2.519693,0.079781,0.003,0.00023934300000000002,0.001575635,0.00684873,1169.4218867460272,2205.9490518636976,2219.021883770303,3089.1359883395817,3623.499403791011,3661.6283624810926,4372.040745757194,4381.714557951702,5296.292509305094,5317.30728089384,106.39559388160706,173.43720483779907
14,0.833058,0.100436,67.373235,2.06173,0.086237,0.003,0.000258711,0.0008347099999999994,0.00833058,1199.0536705987397,2311.56871729095,2321.440931299948,3274.6392470534797,3876.696693189443,3913.784408974537,4710.315869678522,4719.661188447138,5769.358644915199,5791.992085157115,105.62273645401001,170.98080396652222
15,0.364267,0.593166,53.637637,1.343469,0.082191,0.003,0.000246573,0.003178665,0.00364267,1038.5640819557293,1969.4865524754896,1980.6798370807487,2768.614692172254,3258.356342414854,3288.374664676523,3942.2965826647783,3948.091853782961,4800.215332031089,4810.149239774052,84.3916404247284,149.89472246170044
16,0.191981,0.17804,51.602008,1.610222,0.133647,0.003,0.000400941,0.0040400950000000005,0.00191981,1009.4066524062382,1977.8712187963122,1991.9721692462997,2841.7753548908495,3390.2694583886555,3423.5148062557573,4155.795366894984,4167.197338091511,5150.891743379506,5176.767039387526,86.66859078407288,154.9837577342987
17,0.203992,0.794572,72.010148,1.415714,0.097861,0.003,0.00029358300000000004,0.00398004,0.00203992,1001.9474483203379,1944.6248048966904,1956.9555235939165,2774.827658454195,3297.4601336297164,3327.73064953057,4025.263921773836,4033.498199604924,4962.697895249871,4979.51015019361,81.54609870910645,148.53548622131348
