alpha,beta,theta_c,eta1,eta2
0.811370,0.135367,39.786353,1.728600,0.037873
0.799880,0.613780,66.751658,1.307618,0.048697
0.698359,0.492612,74.001909,1.688187,0.100900
0.553112,0.708338,62.720892,1.634300,0.146844
0.424633,0.899685,40.409136,0.811593,0.049560
0.580827,0.101205,45.593706,1.773432,0.099412
0.862227,0.222557,42.870996,2.658639,0.113017
0.632920,0.755745,17.627864,1.512007,0.054620
0.853807,0.539670,72.831038,1.222142,0.109610
0.876710,0.977648,52.879878,1.936583,0.136587
0.793435,0.427127,41.224817,0.908318,0.068899
0.647938,0.779449,73.266693,1.798612,0.045160
0.684873,0.669216,11.702797,2.519693,0.079781
0.833058,0.100436,67.373235,2.061730,0.086237
0.364267,0.593166,53.637637,1.343469,0.082191
0.191981,0.178040,51.602008,1.610222,0.133647
0.203992,0.794572,72.010148,1.415714,0.097861
0.899568,0.123761,5.501764,1.860094,0.075112
0.546595,0.565162,28.612125,1.598564,0.064069
0.822440,0.157232,38.178131,2.994107,0.121510
0.562297,0.231153,33.317335,2.763888,0.029533
0.616853,0.121470,49.024855,2.167709,0.131680
0.381560,0.128879,69.428308,1.678198,0.129473
0.405893,0.244815,32.066809,1.816908,0.041615
0.796682,0.553705,51.371198,0.784176,0.089128
0.731969,0.413590,64.889294,1.671225,0.076967
0.446793,0.265828,71.709939,1.720312,0.103212
0.711935,0.905781,47.740134,2.599431,0.039444
0.786619,0.629933,24.944884,1.840159,0.053657
0.606832,0.319559,54.847171,1.477258,0.094608
0.881491,0.816528,65.323128,1.785667,0.058762
0.610693,0.241077,33.825397,1.234698,0.024863
0.455625,0.387857,73.778726,1.767776,0.057104
0.727030,0.109914,67.579848,1.889159,0.084130
0.638555,0.212416,22.177736,2.201921,0.083936
0.723217,0.254472,23.726122,1.700369,0.064662
0.432170,0.159481,74.805175,1.924547,0.065700
0.887155,0.433703,71.113896,1.776305,0.070373
0.773513,0.189613,50.242859,1.533333,0.072494
0.782931,0.260713,50.381603,1.629208,0.059664
0.415623,0.191183,63.417926,1.054980,0.116711
0.353936,0.872573,66.374933,2.430000,0.051164
0.713818,0.284162,49.636303,1.865457,0.117170
0.827010,0.109266,46.763114,2.811335,0.095259
0.766142,0.100068,39.213695,1.452700,0.034239
0.465286,0.447894,68.920390,1.580596,0.067449
0.286870,0.945370,7.625579,1.521701,0.113811
0.836863,0.147600,30.201110,2.901144,0.074516
0.671997,0.379317,19.510611,1.750110,0.055879
0.841602,0.603197,56.914786,0.988167,0.125665
0.459368,0.731495,62.094431,2.254100,0.098764
0.315712,0.324036,69.913004,1.450879,0.052292
0.230239,0.471604,37.266522,1.757435,0.126510
0.744959,0.658509,60.395441,1.158704,0.024141
0.345320,0.375689,14.899573,2.921709,0.067891
0.477544,0.172532,26.511703,2.476758,0.090944
0.540255,0.221131,70.261534,2.081547,0.107198
0.868794,0.348776,70.606191,1.552916,0.078391
0.752312,0.133046,43.780448,2.197032,0.046872
0.519491,0.689079,57.705165,1.996876,0.085291
0.368619,0.338936,57.346283,2.100748,0.110997
0.703633,0.115882,61.096437,1.285285,0.109177
0.585642,0.929714,59.419424,1.569937,0.079089
0.271416,0.766345,20.283662,2.317950,0.089200
0.289691,0.200099,64.374138,0.620489,0.104167
0.747797,0.290425,74.423010,1.390349,0.088197
0.236752,0.105347,38.466448,0.938010,0.083047
0.857908,0.647934,35.396730,1.182722,0.092704
0.146193,0.984526,44.496632,2.275085,0.035106
0.891352,0.101687,65.703860,1.958283,0.138485
0.499129,0.119299,55.841038,0.871970,0.120702
0.655673,0.204517,65.897970,1.828223,0.105811
0.689222,0.153674,58.999262,2.394846,0.123628
0.485213,0.351297,60.619660,1.745823,0.080474
0.660312,0.685180,68.589461,1.985132,0.085142
0.574374,0.273459,54.374791,1.753424,0.062522
0.591808,0.515197,56.234847,2.697023,0.119258
0.488579,0.506262,61.412501,2.585649,0.142638
0.398726,0.584355,55.323236,1.067723,0.062213
0.848715,0.360084,53.405393,1.357712,0.028112
0.818984,0.102843,63.736192,1.761953,0.138664
0.504727,0.455801,48.118859,1.268391,0.091708
0.758714,0.720705,71.509878,1.114994,0.087038
0.771875,0.842396,43.229698,1.908452,0.072736
0.389190,0.967283,31.815005,2.036762,0.085681
0.527567,0.183900,46.927825,1.658431,0.140867
0.152633,0.142031,36.204015,2.333522,0.090779
0.739199,0.304284,23.111039,1.007900,0.060426
0.805764,0.857151,62.868335,1.751633,0.087521
0.597384,0.526242,34.685742,2.140475,0.144966
0.518459,0.481950,58.235180,2.465436,0.046542
0.560392,0.800740,29.566974,1.487673,0.101894
0.872946,0.887573,51.990731,0.730398,0.031901
0.678751,0.165642,41.798224,1.326354,0.076078
0.668540,0.464532,46.160524,1.381510,0.131026
0.331887,0.402545,15.712478,2.734143,0.096315
0.256484,0.140200,72.487294,1.807063,0.041015
0.625149,0.113070,68.235331,1.425803,0.043141
0.642227,0.106302,59.693389,1.104250,0.070854
0.306339,0.310133,27.427847,1.199092,0.149003
